slug,sha,test_name,filter_mode,full_range_size,priority_size,candidate_reduction_pct,barrier_point_retained,found_via_priority,repair_success,repeated_pass_count,repeated_total_runs,repeated_run_validated,barrier_search_time_sec,total_time_sec,shared_phase_time_sec,critical_points_attempted,total_candidates_all_attempts
apache/incubator-uniffle,625377c9ae130b4e64247ac35c95d2d0bac42af9,org.apache.uniffle.common.rpc.GrpcServerTest#testGrpcExecutorPool,none,34,34,0,n/a,true,yes,10,10,yes,48.934739000,75.851604000,24.836959000,1,34
apache/incubator-uniffle,625377c9ae130b4e64247ac35c95d2d0bac42af9,org.apache.uniffle.common.rpc.GrpcServerTest#testGrpcExecutorPool,proximity,34,0,0,no,false,yes,10,10,yes,50.511310000,77.452789000,24.836959000,1,34
apache/incubator-uniffle,625377c9ae130b4e64247ac35c95d2d0bac42af9,org.apache.uniffle.common.rpc.GrpcServerTest#testGrpcExecutorPool,dependency,34,25,26.4800,yes,true,yes,10,10,yes,7.905816000,34.815526000,24.836959000,1,34
